,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,busselton,AU,290.3,broken clouds,-33.65,115.3333,Observatory Guest House
1,mataura,NZ,287.86,overcast clouds,-46.1927,168.8643,Ellie's Villa
2,concepcion del oro,MX,283.36,few clouds,24.6333,-101.4167,Hotel Hacienda San Javier
3,lagoa,PT,288.65,overcast clouds,39.05,-27.9833,Casa Das Faias
6,mayumba,GA,296.89,moderate rain,-3.432,10.6554,LIKWALE LODGE
9,port alfred,ZA,292.69,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
10,tongliao,CN,278.56,scattered clouds,43.6125,122.2653,Meirujia Hotel
11,san cristobal,VE,291.64,overcast clouds,7.7669,-72.225,Pirineos
13,galveston,US,283.69,overcast clouds,29.3669,-94.9669,Crystal Suites
14,camopi,GF,293.91,overcast clouds,3.1655,-52.3158,La pousada
16,severo-kurilsk,RU,274.29,overcast clouds,50.6789,156.125,Kak Doma
19,kodiak,US,279.88,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
20,prainha,BR,297.08,overcast clouds,-1.8,-53.48,Casa Rocha
21,ushuaia,AR,284.96,clear sky,-54.8,-68.3,Albatross Hotel
22,ponta do sol,PT,294.1,overcast clouds,32.6667,-17.1,Hotel do Campo
24,san carlos de bariloche,AR,281.01,clear sky,-41.1456,-71.3082,Hotel Patagonia
25,hobart,AU,288.85,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
26,punta arenas,CL,281.21,clear sky,-53.15,-70.9167,Hotel Hain
27,hermanus,ZA,290.82,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
31,geraldton,AU,293.38,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
32,rabupura,IN,297.72,clear sky,28.25,77.6,Agrasen Dharamshala
36,vaini,TO,297.24,few clouds,-21.2,-175.2,Keleti Beach Resort
37,coquimbo,CL,287.0,few clouds,-29.9533,-71.3436,Hotel San Juan
38,saint george,US,277.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
41,lavrentiya,RU,274.04,snow,65.5833,-171.0,Bredasdorp Country Manor
42,albany,US,276.14,broken clouds,42.6001,-73.9662,Bredasdorp Country Manor
43,kruisfontein,ZA,292.53,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
44,lompoc,US,283.47,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
45,san patricio,US,284.73,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
46,port elizabeth,ZA,293.76,few clouds,-33.918,25.5701,39 On Nile Guest House
47,hilo,US,295.51,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
