,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,busselton,AU,-33.65,115.3333,290.3,55,79,9.02,broken clouds
1,mataura,NZ,-46.1927,168.8643,287.86,89,97,1.55,overcast clouds
2,concepcion del oro,MX,24.6333,-101.4167,283.36,70,17,2.9,few clouds
3,lagoa,PT,39.05,-27.9833,288.65,66,100,9.95,overcast clouds
4,nishihara,JP,26.1842,127.7558,298.96,69,75,6.69,light rain
5,thompson,CA,55.7435,-97.8558,263.24,79,100,6.69,light snow
6,mayumba,GA,-3.432,10.6554,296.89,90,100,4.09,moderate rain
7,nadym,RU,65.5333,72.5167,255.7,84,98,5.87,overcast clouds
8,saint-pierre,RE,-21.3393,55.4781,298.97,50,0,4.12,clear sky
9,port alfred,ZA,-33.5906,26.891,292.69,79,88,2.24,overcast clouds
10,tongliao,CN,43.6125,122.2653,278.56,62,46,4.42,scattered clouds
11,san cristobal,VE,7.7669,-72.225,291.64,98,100,0.7,overcast clouds
12,barrow,US,71.2906,-156.7887,269.16,74,0,6.69,clear sky
13,galveston,US,29.3669,-94.9669,283.69,70,99,0.45,overcast clouds
14,camopi,GF,3.1655,-52.3158,293.91,99,99,0.79,overcast clouds
15,norman wells,CA,65.282,-126.8329,252.17,84,20,0.0,few clouds
16,severo-kurilsk,RU,50.6789,156.125,274.29,67,99,2.65,overcast clouds
17,tuktoyaktuk,CA,69.4541,-133.0374,265.15,79,20,6.69,few clouds
18,rio tuba,PH,8.5061,117.4317,302.08,75,100,6.62,light rain
19,kodiak,US,57.79,-152.4072,279.88,93,100,7.72,overcast clouds
20,prainha,BR,-1.8,-53.48,297.08,68,89,1.16,overcast clouds
21,ushuaia,AR,-54.8,-68.3,284.96,30,0,4.63,clear sky
22,ponta do sol,PT,32.6667,-17.1,294.1,82,88,3.01,overcast clouds
23,bodden town,KY,19.2833,-81.25,300.89,79,27,7.35,scattered clouds
24,san carlos de bariloche,AR,-41.1456,-71.3082,281.01,71,0,2.57,clear sky
25,hobart,AU,-42.8794,147.3294,288.85,67,20,9.26,few clouds
26,punta arenas,CL,-53.15,-70.9167,281.21,76,0,5.66,clear sky
27,hermanus,ZA,-34.4187,19.2345,290.82,64,95,3.26,overcast clouds
28,georgetown,MY,5.4112,100.3354,304.11,82,20,4.12,few clouds
29,vanavara,RU,60.34,102.2797,263.43,92,100,3.13,light snow
30,tiksi,RU,71.6872,128.8694,246.47,99,99,2.15,overcast clouds
31,geraldton,AU,-28.7667,114.6,293.38,49,75,7.72,broken clouds
32,rabupura,IN,28.25,77.6,297.72,25,0,5.47,clear sky
33,ambilobe,MG,-13.2,49.05,302.59,57,98,0.81,light rain
34,ilulissat,GL,69.2167,-51.1,265.16,93,100,2.57,light snow
35,kavieng,PG,-2.5744,150.7967,302.04,71,84,3.72,light rain
36,vaini,TO,-21.2,-175.2,297.24,94,20,1.03,few clouds
37,coquimbo,CL,-29.9533,-71.3436,287.0,94,20,1.54,few clouds
38,saint george,US,37.1041,-113.5841,277.01,48,0,0.45,clear sky
39,luderitz,NA,-26.6481,15.1594,291.24,65,11,5.31,few clouds
40,port blair,IN,11.6667,92.75,299.17,89,75,2.06,broken clouds
41,lavrentiya,RU,65.5833,-171.0,274.04,95,100,5.3,snow
42,albany,US,42.6001,-73.9662,276.14,90,55,4.18,broken clouds
43,kruisfontein,ZA,-34.0033,24.7314,292.53,58,80,4.2,broken clouds
44,lompoc,US,34.6391,-120.4579,283.47,79,0,2.57,clear sky
45,san patricio,US,28.017,-97.5169,284.73,65,100,3.17,overcast clouds
46,port elizabeth,ZA,-33.918,25.5701,293.76,76,20,8.05,few clouds
47,hilo,US,19.7297,-155.09,295.51,95,100,3.6,overcast clouds
48,provideniya,RU,64.3833,-173.3,273.96,99,100,3.55,snow
49,shiringushi,RU,53.8485,42.7676,270.39,89,100,4.35,light snow
50,valparaiso,CL,-33.0393,-71.6273,285.95,94,40,0.0,scattered clouds
51,mar del plata,AR,-38.0023,-57.5575,290.16,88,0,3.58,moderate rain
